field,focalMm,focalRatio,limitMag,defocusSteps,aberr,arm,iters,starsQueried,stampJobs,distinctKernels,kernelCacheBytes,maxKernelRadiusPx,orientationBins,defocusQuantumUm,totalMsMedian,totalMsMin,totalMsMax,queryMs,jobBuildMs,kernelGenMs,stampMs,developMs,kernelGenMsPerKernel,skyPlusDarkElectronsPerPx,config,processorCount
dense-oversampled,2000,8.00,17.0,0,A2,on,5,4750,1655,123,8765632,16,13,15.04,374.4,365.0,394.0,45.1,61.3,15.8,13.8,282.4,0.13,4.68,Release,48
dense-oversampled,2000,8.00,17.0,0,A2,on-strong,5,4750,1656,326,23773568,17,28,15.04,408.1,406.3,437.6,44.2,96.3,52.0,13.2,285.6,0.16,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A0,off,5,4750,1660,1,145472,23,1,15.04,387.0,364.2,389.6,44.8,48.8,3.4,15.6,291.5,3.37,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A0,on-zero,5,4750,1660,1,145472,23,1,15.04,370.5,357.1,464.2,44.0,48.0,3.5,14.0,296.4,3.54,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A0,on,5,4750,1660,1,145472,23,1,15.04,365.7,355.0,414.6,44.5,48.4,3.4,13.9,292.5,3.37,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A0,on-strong,5,4750,1660,1,145472,23,1,15.04,355.8,353.9,419.1,43.9,47.7,3.5,13.8,282.8,3.54,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A1,off,5,4750,1660,5,680256,23,1,15.04,361.4,354.4,430.8,43.9,48.5,3.9,14.3,281.2,0.78,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A1,on-zero,5,4750,1660,5,680256,23,1,15.04,367.6,355.2,407.4,43.9,48.3,4.0,14.1,293.8,0.79,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A1,on,5,4750,1660,62,8951168,23,13,15.04,377.7,369.4,403.5,48.7,63.8,15.5,14.4,285.2,0.25,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A1,on-strong,5,4750,1660,197,29107520,23,27,15.04,411.4,408.7,417.0,44.1,93.2,48.8,14.4,289.5,0.25,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A2,off,5,4750,1660,8,1070592,23,1,15.04,368.9,354.5,389.2,43.9,48.2,3.9,13.8,294.2,0.48,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A2,on-zero,5,4750,1660,8,1070592,23,1,15.04,362.7,354.7,398.0,43.8,48.5,4.3,13.4,290.2,0.53,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A2,on,5,4750,1660,133,19009344,23,13,15.04,384.0,380.3,405.1,45.0,73.3,28.8,14.6,282.4,0.22,4.68,Release,48
dense-oversampled,2000,8.00,17.0,150,A2,on-strong,5,4750,1662,376,55211520,24,28,15.04,444.1,437.8,506.0,45.4,135.6,89.5,15.2,280.2,0.24,4.68,Release,48
